Sample;sox10;elavl3;ltk;neurog1;pax7b;phox2b;pnp4a;mitfa;xdh;mbpa;tyrp1b;snail2;sox9b;rpl13;Kan 
sc114;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;34.78205109;34.45170593;19.23975563;Undetermined;36.27471924;Undetermined;35.16467285;37.23044586;15.22230434;9.148694992
sc115;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;36.89240265;Undetermined;Undetermined;37.59488678;Undetermined;35.35142517;37.25756454;13.24630165;8.741559029
sc116;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;17.35673332;30.67725372;28.07081032;Undetermined;Undetermined;Undetermined;29.69499397;37.27928162;13.77969456;9.031421661
sc117;20.97049141;Undetermined;Undetermined;37.61209488;Undetermined;Undetermined;14.2445364;Undetermined;16.83206558;Undetermined;Undetermined;Undetermined;37.30172729;12.26760483;8.636517525
sc118;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;37.78514862;35.24126434;Undetermined;Undetermined;Undetermined;Undetermined;35.26803207;37.42087555;13.04494381;9.264176369
sc119;31.12323952;Undetermined;Undetermined;18.20453835;Undetermined;25.43957901;33.56924057;17.82332993;Undetermined;17.42396545;Undetermined;19.97231102;37.45561981;12.56008911;9.947863579
sc120;20.95406914;Undetermined;Undetermined;Undetermined;Undetermined;36.52373886;30.78329468;30.979105;Undetermined;Undetermined;29.73002434;Undetermined;37.46861267;13.43583012;6.959799767
sc121;21.10626221;Undetermined;Undetermined;38.75944901;Undetermined;36.49412537;33.93492126;17.93367767;Undetermined;15.5731163;34.91016006;Undetermined;37.48466873;13.07545948;9.013242722
sc122;Undetermined;Undetermined;Undetermined;24.15860176;Undetermined;24.74436378;35.38607788;16.11267471;Undetermined;23.33057022;Undetermined;25.84848976;37.5220871;13.00491714;9.214653969
sc123;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;35.46800613;36.49804306;Undetermined;Undetermined;Undetermined;Undetermined;36.87439728;37.52492523;13.1676836;9.220510483
sc124;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;35.42692947;Undetermined;Undetermined;Undetermined;Undetermined;35.60383987;37.61903381;12.38275528;8.778085709
sc125;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;36.60451889;33.36172104;Undetermined;Undetermined;Undetermined;Undetermined;34.58332825;37.6379509;12.61812592;9.208973885
